Month-Year,SE,ANOM,SST,,year,sst_yr,sst_se_yr,sst_anom_yr,,year,sst_summer,sst_se_summer,sst_anom_summer,,year,sst_winter,sst_se_winter,sst_anom_winter
Apr-95,0.426799993,-0.63379999,4.309866591,,,,,,,,,,,,,,,
May-95,0.477870961,-0.63670967,7.728516014,,,,,,,,,,,,,,,
Jun-95,0.451333326,0.247666663,12.97386642,,,,,,,,,,,,,,,
Jul-95,0.339806447,0.495870959,16.78870946,,,,,,,,,,,,,,,
Aug-95,0.312645156,0.376838702,17.61187079,,,,,,,,,,,,,,,
Sep-95,0.316066662,0.260733331,15.61186639,,,,,,,,,,,,,,,
Oct-95,0.357999994,0.391483866,12.61735457,,,,,,,,,,,,,,,
Nov-95,0.301933328,0.164199998,9.616599796,,,,,,,,,,,,,,,
Dec-95,0.322193541,-0.468451605,6.66806442,,,,,,,,,,,,,,,
Jan-96,0.267677415,-0.167483869,4.917870897,,,,,,,,,,,,,,,
Feb-96,0.294413788,-0.923172399,2.812827549,,,,,,,,,,,,,,,
Mar-96,0.239032254,-0.720645149,2.758064469,,,,,,,,,,,,,,,
Apr-96,0.269133327,-0.14126666,4.802733255,,,,,,,,,,,,,,,
May-96,0.302064511,0.93554837,9.300838517,,,,,,,,,,,,,,,
Jun-96,0.27006666,1.944599972,14.6707997,,,,,,,,,,,,,,,
Jul-96,0.262193544,-0.940580632,15.35180613,,,,,,,,,,,,,,,
Aug-96,0.25225806,-0.067870968,17.16664494,,,,,,,,,,,,,,,
Sep-96,0.278133329,-0.336666663,15.01446636,,,,,,,,,,,,,,,
Oct-96,0.230516125,-0.438193544,11.78812882,,,,,,,,,,,,,,,
Nov-96,0.241999996,-0.013733333,9.438199761,,,,,,,,,,,,,,,
Dec-96,0.27541935,0.093677418,7.229548252,,,,,,,,,,,,,,,
Jan-97,0.258064512,0.481741931,5.566903155,,,,,,,,,,,,,,,
Feb-97,0.242785712,0.859285697,4.605499937,,,,,,,,,,,,,,,
Mar-97,0.277548382,0.621483863,4.100709618,,,,,,,,,,,,,,,
Apr-97,0.234599997,0.461266658,5.404999935,,,,,,,,,,,,,,,
May-97,0.250774189,-0.44141935,7.923806323,,,,,,,,,,,,,,,
Jun-97,0.277399995,0.578799991,13.30426639,,,,,,,,,,,,,,,
Jul-97,0.233483868,0.331032256,16.62316105,,,,,,,,,,,,,,,
Aug-97,0.251096769,0.059870967,17.29503206,,,,,,,,,,,,,,,
Sep-97,0.252266662,-0.079599997,15.27166648,,,,,,,,,,,,,,,
Oct-97,0.224903222,-0.060451613,12.16535458,,,,,,,,,,,,,,,
Nov-97,0.25833333,-0.22033333,9.231733141,,,,,,,,,,,,,,,
Dec-97,0.248322578,-0.037032257,7.09909666,,,,,,,,,,,,,,,
Jan-98,0.312516123,0.45909677,5.545096695,,,,,,,,,,,,,,,
Feb-98,0.249999996,0.334714281,4.081642797,,,,,,,,,,,,,,,
Mar-98,0.264451609,-0.330387092,3.148580591,,,,,,,,,,,,,,,
Apr-98,0.259199996,0.653999986,5.597533256,,,,,,,,,,,,,,,
May-98,0.311870962,1.059999981,9.425354617,,,,,,,,,,,,,,,
Jun-98,0.308399995,-0.004999998,12.72126637,,,,,,,,,,,,,,,
Jul-98,0.280387092,0.550129023,16.84251594,,,,,,,,,,,,,,,
Aug-98,0.246967737,-0.171161286,17.06374172,,,,,,,,,,,,,,,
Sep-98,0.226399997,0.556466661,15.90793308,,,,,,,,,,,,,,,
Oct-98,0.274903221,-0.858838694,11.36735465,,,,,,,,,,,,,,,
Nov-98,0.25153333,-0.860466651,8.5917998,,,,,,,,,,,,,,,
Dec-98,0.249096771,-0.343870964,6.79193537,,,,,,,,,,,,,,,
Jan-99,0.310258058,0.004838709,5.090128939,,,,,,,,,,,,,,,
Feb-99,0.264785709,-0.199142854,3.547357082,,,,,,,,,,,,,,,
Mar-99,0.267032254,-0.675612892,2.80316125,,,,,,,,,,,,,,,
Apr-99,0.216333331,0.935399982,5.879466582,,,,,,,,,,,,,,,
May-99,0.26541935,1.625419317,9.990773957,,,,,,,,,,,,,,,
Jun-99,0.279999995,2.211333307,14.93733307,,,,,,,,,,,,,,,
Jul-99,0.270322576,0.696774183,16.98870945,,,,,,,,,,,,,,,
Aug-99,0.240129029,0.515548379,17.75019326,,,,,,,,,,,,,,,
Sep-99,0.263399996,1.809199974,17.16046641,,,,,,,,,,,,,,,
Oct-99,0.225677417,0.170838706,12.39690297,,,,,,,,,,,,,,,
Nov-99,0.243399996,-0.074266667,9.37779983,,,,,,,,,,,,,,,
Dec-99,0.236580641,0.383999997,7.520193437,,,,,,,,,,,,,,,
Jan-00,0.258451608,0.542387091,5.627548313,,,,,,,,,,,,,,,
Feb-00,0.265379306,0.132137931,3.867861996,,,,,,,,,,,,,,,
Mar-00,0.2456129,0.722064504,4.200258005,,,,,,,,,,,,,,,
Apr-00,0.283333328,0.928333315,5.871999907,,,,,,,,,,,,,,,
May-00,0.275419351,0.87445159,9.239290147,,,,,,,,,,,,,,,
Jun-00,0.262199995,0.545333325,13.27133314,,,,,,,,,,,,,,,
Jul-00,0.261032253,0.092838704,16.38541906,,,,,,,,,,,,,,,
Aug-00,0.238516125,0.32935483,17.5638708,,,,,,,,,,,,,,,
Sep-00,0.246599996,0.477466656,15.82886645,,,,,,,,,,,,,,,
Oct-00,0.266064513,0.24993548,12.4759352,,,,,,,,,,,,,,,
Nov-00,0.289933328,0.246399997,9.69866647,,,,,,,,,,,,,,,
Dec-00,0.254193543,0.655290312,7.791225641,,,,,,,,,,,,,,,
Jan-01,0.245870963,0.846709661,5.931999923,,,,,,,,,,,,,,,
Feb-01,0.237642853,1.187857118,4.934571369,,,,,,,,,,,,,,,
Mar-01,0.297354834,-0.01767742,3.461225757,,,,,,,,,,,,,,,
Apr-01,0.260733329,-0.269199996,4.673866596,,,,,,,,,,,,,,,
May-01,0.299483865,1.298580618,9.663935303,,,,,,,,,,,,,,,
Jun-01,0.295133329,1.347733312,14.07433304,,,,,,,,,,,,,,,
Jul-01,0.24277419,-0.234580639,16.05754811,,,,,,,,,,,,,,,
Aug-01,0.274451608,1.03187095,18.26612883,,,,,,,,,,,,,,,
Sep-01,0.249199996,0.85713332,16.20839973,,,,,,,,,,,,,,,
Oct-01,0.212193545,0.017483872,12.24387065,,,,,,,,,,,,,,,
Nov-01,0.250199996,-0.033999999,9.41819983,,,,,,,,,,,,,,,
Dec-01,0.229290319,0.888838693,8.02587086,,,,,,,,,,,,,,,
Jan-02,0.249870964,1.227161271,6.312451535,,,,,,,,,,,,,,,
Feb-02,0.227857139,1.47021426,5.215999928,,,,,,,,,,,,,,,
Mar-02,0.267548382,1.198903207,4.677161239,,,,,,,,,,,,,,,
Apr-02,0.276799995,1.462266646,6.406533264,,,,,,,,,,,,,,,
May-02,0.275032254,0.191548385,8.557096632,,,,,,,,,,,,,,,
Jun-02,0.284866662,-0.035733331,12.69033308,,,,,,,,,,,,,,,
Jul-02,0.261483866,0.756580626,17.04909655,,,,,,,,,,,,,,,
Aug-02,0.224387093,1.44070965,18.67535465,,,,,,,,,,,,,,,
Sep-02,0.233599996,0.924799979,16.27639969,,,,,,,,,,,,,,,
Oct-02,0.210387092,1.144580628,13.37070939,,,,,,,,,,,,,,,
Nov-02,0.230466662,0.430199994,9.882333153,,,,,,,,,,,,,,,
Dec-02,0.211870964,0.482258055,7.618451513,,,,,,,,,,,,,,,
Jan-03,0.238387092,0.288129027,5.373354762,,,,,,,,,,,,,,,
Feb-03,0.227714281,0.026785714,3.773214228,,,,,,,,,,,,,,,
Mar-03,0.220193544,-0.014967741,3.463999952,,,,,,,,,,,,,,,
Apr-03,0.229199995,-0.674466656,4.268999929,,,,,,,,,,,,,,,
May-03,0.273483865,-0.56129031,7.803548259,,,,,,,,,,,,,,,
Jun-03,0.262999997,-0.065866664,12.66033309,,,,,,,,,,,,,,,
Jul-03,0.244774189,-0.0652258,16.22722556,,,,,,,,,,,,,,,
Aug-03,0.244580639,0.41735483,17.65154825,,,,,,,,,,,,,,,
Sep-03,0.209866664,1.086399983,16.43793308,,,,,,,,,,,,,,,
Oct-03,0.210580642,-0.239999998,11.98638686,,,,,,,,,,,,,,,
Nov-03,0.225066663,-0.657666653,8.794266485,,,,,,,,,,,,,,,
Dec-03,0.212258061,-0.746258056,6.389935385,,,,,,,,,,,,,,,
Jan-04,0.22309677,-0.228193545,4.857161225,,,,,,,,,,,,,,,
Feb-04,0.211448272,0.017310344,3.75324131,,,,,,,,,,,,,,,
Mar-04,0.225290319,-0.677483858,2.801290271,,,,,,,,,,,,,,,
Apr-04,0.21873333,-0.303999995,4.640333257,,,,,,,,,,,,,,,
May-04,0.232967738,0.208516124,8.573870865,,,,,,,,,,,,,,,
Jun-04,0.21913333,-0.372199993,12.3543331,,,,,,,,,,,,,,,
Jul-04,0.211677415,-0.359548382,15.93296744,,,,,,,,,,,,,,,
Aug-04,0.225161285,-0.302451607,16.93251596,,,,,,,,,,,,,,,
Sep-04,0.20973333,0.755866657,16.10699973,,,,,,,,,,,,,,,
Oct-04,0.2176129,0.134064513,12.36032236,,,,,,,,,,,,,,,
Nov-04,0.214199996,-0.547399992,8.904866473,,,,,,,,,,,,,,,
Dec-04,0.22341935,-0.355999995,6.779999872,,,,,,,,,,,,,,,
Jan-05,0.228322576,0.024709678,5.107096697,,,,,,,,,,,,,,,
Feb-05,0.217999997,-0.582214274,3.151571388,,,,,,,,,,,,,,,
Mar-05,0.204645158,-0.817032245,2.663419309,,,,,,,,,,,,,,,
Apr-05,0.210666663,0.705866654,5.649466591,,,,,,,,,,,,,,,
May-05,0.22774193,-0.331935475,8.033096593,,,,,,,,,,,,,,,
Jun-05,0.226399995,0.162133337,12.88753312,,,,,,,,,,,,,,,
Jul-05,0.226387094,0.625096764,16.91748359,,,,,,,,,,,,,,,
Aug-05,0.225548384,1.212709658,18.44696756,,,,,,,,,,,,,,,
Sep-05,0.19893333,0.998599984,16.34953312,,,,,,,,,,,,,,,
Oct-05,0.223225801,0.136451606,12.36303197,,,,,,,,,,,,,,,
Nov-05,0.211199997,-0.088266665,9.363933099,,,,,,,,,,,,,,,
Dec-05,0.218387093,-0.082903225,7.053741812,,,,,,,,,,,,,,,
Jan-06,0.229870964,0.546322571,5.628967672,,,,,,,,,,,,,,,
Feb-06,0.20978571,0.785785703,4.519714217,,,,,,,,,,,,,,,
Mar-06,0.212967738,0.732064502,4.211870899,,,,,,,,,,,,,,,
Apr-06,0.21393333,0.982533321,5.926399919,,,,,,,,,,,,,,,
May-06,0.241354832,0.301935483,8.666838528,,,,,,,,,,,,,,,
Jun-06,0.257799993,1.821266634,14.54693303,,,,,,,,,,,,,,,
Jul-06,0.217161287,0.95309676,17.24529009,,,,,,,,,,,,,,,
Aug-06,0.226580641,1.110064492,18.34425778,,,,,,,,,,,,,,,
Sep-06,0.205466664,1.248266643,16.59973313,,,,,,,,,,,,,,,
Oct-06,0.209548384,0.450516124,12.67632227,,,,,,,,,,,,,,,
